date,n1,n2,n3,n4,n5,life
2026-03-26,14,17,26,31,37,4
2026-03-30,5,16,36,37,47,9
2026-04-02,2,3,8,27,39,7
2026-04-06,1,2,11,26,37,4
2026-04-09,16,17,30,45,46,7
2026-04-13,12,13,19,25,44,4
2026-04-16,3,5,7,32,38,4
2026-04-20,16,17,27,45,46,5
2026-04-23,8,14,20,23,32,1
2026-04-27,6,13,37,42,43,10
2026-04-30,2,6,13,27,38,10
2026-05-04,8,19,24,43,46,4
2026-05-07,8,13,26,34,45,8
2026-05-11,13,14,23,24,39,9
2026-05-14,15,36,39,41,43,8
2026-05-18,3,21,22,28,38,10
2026-05-21,1,12,27,39,45,4
2026-05-25,3,14,21,28,44,4
2026-05-28,6,10,11,19,30,5
2026-06-01,8,12,33,35,45,1
2026-06-04,4,8,26,32,46,8
2026-06-08,1,14,20,23,42,8
2026-06-11,12,16,32,33,41,2
2026-06-15,7,8,14,17,20,2
2026-06-18,11,20,23,24,27,5
2026-06-22,1,16,32,34,38,5
2026-06-25,1,9,26,28,45,3
2026-06-29,10,19,30,33,36,3
2026-07-02,16,22,23,25,30,6
2026-07-06,3,4,15,26,45,7
2026-07-09,7,35,40,46,47,10
2026-07-13,1,19,40,43,46,4
2026-07-16,5,13,24,33,40,10
2026-07-20,1,13,20,35,39,10
2026-07-23,2,6,10,18,30,8
2026-07-27,6,14,15,34,39,2
2026-07-30,1,4,13,24,45,5
2026-08-03,12,20,21,24,41,6
2026-08-06,3,4,5,18,37,6
2026-08-10,1,14,30,34,46,3
2026-08-13,4,5,10,12,36,8
2026-08-17,13,14,23,33,36,10
2026-08-20,6,9,29,32,47,9
2026-08-24,11,19,28,38,43,9
2026-08-27,1,24,28,31,47,3
2026-08-31,4,17,26,38,39,8
2026-09-03,16,17,22,42,47,1
2026-09-07,4,18,22,24,42,5
2026-09-10,2,11,23,43,44,10
2026-09-14,10,19,21,27,41,6
2026-09-17,5,9,15,33,43,7
2026-09-21,24,28,37,40,42,7
